question,answer
"How do I track my order?",Go to 'My Orders' and click 'Track Order'.
"How can I cancel my order?",You can cancel within 24 hours under 'Order History'.
"How do I return a product?",Go to 'My Orders' → 'Return Item'.
"What payment methods are accepted?",We support UPI cards and COD.
"How long does delivery take?",Delivery takes 3 to 5 business days.
"Do you ship internationally?",Yes we ship to select countries.
"When will I get my refund?",Refunds are processed within 5 to 7 days.
"How do I create an account?","Create an account by clicking Sign Up, providing your email and password, and completing email verification."
"I forgot my password — how do I reset it?","Use the 'Forgot Password' link on the sign-in page to receive reset instructions by email."
"Can I change my shipping address after placing an order?","If your order hasn't shipped you can update the address in Orders or contact customer support to assist."
"How do I apply a promo code or coupon?","Enter the promo code in the 'Promo code' field at checkout and click Apply before payment."
"Are prices shown inclusive of taxes and fees?","Final prices, including taxes and shipping fees, are displayed at checkout."
"How are shipping costs calculated?","Shipping costs are calculated at checkout based on item weight, dimensions, and delivery location; free shipping may apply for qualifying orders."
"Do you offer express or same-day delivery?","Express delivery is available in select areas for an additional fee; options are shown at checkout."
"How can I track my order?","After dispatch you'll receive a tracking number by email; track it via the Orders page or the carrier's site."
"How do I cancel my order?","Cancel from the Orders section if the order hasn't shipped yet; otherwise contact support for assistance."
"What is your return and exchange policy?","See our Returns page for full details; generally you can return eligible items within the stated return window via the Orders page."
"How long does it take to process a refund?","Refunds are processed after we receive and inspect the return; timing depends on your payment method and bank processing."
"How do I contact customer support?","Use the Help or Contact Us page to access chat, email, or phone support and provide your order number."
"Do you provide gift wrapping and personalized messages?","Gift wrapping and message options are available at checkout for eligible products where offered."
"Can I modify the items in my order after checkout?","Modifications are possible only before the order is packed/shipped; check Orders or contact support immediately."
"How do I track a return shipment?","You'll receive a return tracking number when the return is dispatched—use it to track via the carrier's website."
"Are products sold on the site authentic?","We source products from authorized sellers and suppliers; authenticity policies are available in our Help center."
"How can I leave a review for a product I purchased?","Go to the product page and click 'Write a review'—reviews may require a verified purchase."
"Where can I find sizing and fit information?","Size charts and fit guides are available on each product page; use them to choose the correct size."
"Can I save items to buy later or create a wishlist?","Yes—use the Wishlist or Save for Later feature while signed in to store items."
"Do you offer discounts for bulk or business purchases?","Bulk and business pricing may be available—contact our sales team or check the Business/Bulk orders section."
"What payment methods do you accept?","We accept major credit/debit cards, net banking, UPI, wallets, and other payment options shown at checkout."
"Is my payment information secure?","We use industry-standard encryption and secure payment processors; we do not store full card details."
"Are installment (EMI) payment options available?","EMI options are offered on select cards and for eligible orders—available choices appear at checkout."
"How do I use a gift card or store credit?","Enter the gift card code at checkout or add store credit to your account and apply it during payment."
"Why is my order delayed or showing a delayed delivery date?","Delays can be caused by carrier issues, weather, customs, or stock; check tracking or contact support for updates."
"Can I schedule a specific delivery date or time?","Delivery scheduling is available in select locations and for certain products; choose options at checkout if available."
"Do you ship to P.O. boxes and APO/FPO addresses?","Shipping to P.O. boxes and military addresses depends on the carrier and product; check shipping options or contact support."
"What happens if an item is out of stock after I place my order?","If an item becomes unavailable we'll notify you and offer a replacement, delayed shipment, or refund."
"How do I report a damaged, defective, or missing item?","Contact customer support immediately with your order number and photos of the damage to start a claim."
"How can I unsubscribe from promotional emails and SMS?","Unsubscribe via the link in any promotional email or update your communication preferences in Account settings."